restaurant,meal,price,url
Haraz Coffee House,DINNER,$20,https://www.universitycity.org/diningdays/haraz-coffee-house/
New Delhi Indian Restaurant,DINNER,$20,https://www.universitycity.org/diningdays/new-delhi/
Pattaya Restaurant,DINNER,$20,https://www.universitycity.org/diningdays/pattaya-restaurant/
The Post,DINNER,$20,https://www.universitycity.org/diningdays/the-post/
Sangkee Noodle House,DINNER,$20,https://www.universitycity.org/diningdays/sangkee/
Thai Singha House,DINNER,$20,https://www.universitycity.org/diningdays/thaisingha/
The Board And Brew,DINNER,$30,https://www.universitycity.org/diningdays/the-board-and-brew/
Copabanana,DINNER,$30,https://www.universitycity.org/diningdays/copabanana/
Dahlak,DINNER,$30,https://www.universitycity.org/diningdays/dahlak/
Desi Chaat House,DINNER,$30,https://www.universitycity.org/diningdays/desi-chaat-house/
Landmark Americana,DINNER,$30,https://www.universitycity.org/diningdays/landmark-americana/
Lulu Cafe,DINNER,$30,https://www.universitycity.org/diningdays/lulu-cafe/
48th Street Grille,DINNER,$40,https://www.universitycity.org/diningdays/48th-street-grille/
CO-OP Restaurant & Bar,DINNER,$40,https://www.universitycity.org/diningdays/co-op/
Corio Philadelphia,DINNER,$40,https://www.universitycity.org/diningdays/corio/
Dim Sum House by Jane G’s,DINNER,$40,https://www.universitycity.org/diningdays/dimsum/
Garces Trading Company,DINNER,$40,https://www.universitycity.org/diningdays/garces-trading-company/
Han Dynasty University City,DINNER,$40,https://www.universitycity.org/diningdays/han-dynasty-university-city/
LaScala’s Fire,DINNER,$40,https://www.universitycity.org/diningdays/lascalasfire/
Louie Louie,DINNER,$40,https://www.universitycity.org/diningdays/louie-louie/
Renata’s Kitchen,DINNER,$40,https://www.universitycity.org/diningdays/renatas/
Santucci’s Pizza UC,DINNER,$40,https://www.universitycity.org/diningdays/santuccis-pizza-and-social-bar-university-city/
Tataki Ramen & Sushi,DINNER,$40,https://www.universitycity.org/diningdays/tataki/
Walnut Street Cafe,DINNER,$40,https://www.universitycity.org/diningdays/walnut-street-cafe/
White Dog Cafe,DINNER,$40,https://www.universitycity.org/diningdays/whitedogcafe/
Desi Chaat House,LUNCH,$20,https://www.universitycity.org/diningdays/desi-chaat-house/
Haraz Coffee House,LUNCH,$20,https://www.universitycity.org/diningdays/haraz-coffee-house/
New Delhi Indian Restaurant,LUNCH,$20,https://www.universitycity.org/diningdays/new-delhi/
Pattaya Restaurant,LUNCH,$20,https://www.universitycity.org/diningdays/pattaya-restaurant/
The Post,LUNCH,$20,https://www.universitycity.org/diningdays/the-post/
Sangkee Noodle House,LUNCH,$20,https://www.universitycity.org/diningdays/sangkee/
Santucci’s Pizza UC,LUNCH,$20,https://www.universitycity.org/diningdays/santuccis-pizza-and-social-bar-university-city/
Thai Singha House,LUNCH,$20,https://www.universitycity.org/diningdays/thaisingha/
48th Street Grille,LUNCH,$30,https://www.universitycity.org/diningdays/48th-street-grille/
The Board And Brew,LUNCH,$30,https://www.universitycity.org/diningdays/the-board-and-brew/
Dahlak,LUNCH,$30,https://www.universitycity.org/diningdays/dahlak/
Garces Trading Company,LUNCH,$30,https://www.universitycity.org/diningdays/garces-trading-company/
Landmark Americana,LUNCH,$30,https://www.universitycity.org/diningdays/landmark-americana/
LaScala’s Fire,LUNCH,$30,https://www.universitycity.org/diningdays/lascalasfire/
Louie Louie,LUNCH,$30,https://www.universitycity.org/diningdays/louie-louie/
Lulu Cafe,LUNCH,$30,https://www.universitycity.org/diningdays/lulu-cafe/
Walnut Street Cafe,LUNCH,$30,https://www.universitycity.org/diningdays/walnut-street-cafe/
White Dog Cafe,LUNCH,$30,https://www.universitycity.org/diningdays/whitedogcafe/
Tataki Ramen & Sushi,LUNCH,$40,https://www.universitycity.org/diningdays/tataki/
