age_group,education,sample_n,rate
25-34,Less than high school,375,11.946534095663575
25-34,High school,2452,7.4490919444880745
25-34,Some college / associate,2102,5.222710381646258
25-34,Bachelor's or higher,4028,3.6773458253719893
35-44,Less than high school,492,6.15050658213618
35-44,High school,2251,5.729837062476037
35-44,Some college / associate,2303,3.6253468665874253
35-44,Bachelor's or higher,4588,2.584576809561709
45-54,Less than high school,541,5.373561278772313
45-54,High school,2083,4.071856924848334
45-54,Some college / associate,2196,3.30099223097762
45-54,Bachelor's or higher,4161,2.5703483320503624
55-64,Less than high school,485,7.2138645483009185
55-64,High school,2020,3.610972463136033
55-64,Some college / associate,2036,3.2878919426562834
55-64,Bachelor's or higher,3220,3.377482256498769
