YEAR,education,sample_n,rate
2020,Less than high school,2893,7.6743347213706405
2020,High school,11950,4.572262323435463
2020,Some college / associate,12622,3.141266971644995
2020,Bachelor's or higher,19618,1.984171168344471
2021,Less than high school,2547,11.110439686258886
2021,High school,10790,8.137878073035617
2021,Some college / associate,11356,6.673241299017133
2021,Bachelor's or higher,18517,3.991448870375401
2022,Less than high school,2254,8.247377536700503
2022,High school,10402,5.275378818944542
2022,Some college / associate,10116,3.7543528223343503
2022,Bachelor's or higher,17400,2.3358450040788745
2023,Less than high school,2204,6.148758423692574
2023,High school,9874,4.307642986457673
2023,Some college / associate,9898,3.118337174579773
2023,Bachelor's or higher,16994,2.100977915449743
2024,Less than high school,2219,7.829070290621712
2024,High school,9664,4.9808848016829295
2024,Some college / associate,9813,3.3914579593411056
2024,Bachelor's or higher,17364,2.164264089121736
2025,Less than high school,2242,6.650954023104844
2025,High school,9601,5.075398738459769
2025,Some college / associate,9494,3.702053997024109
2025,Bachelor's or higher,17276,2.282983672930559
2026,Less than high school,1893,7.403406446138715
2026,High school,8806,5.4360264616722835
2026,Some college / associate,8637,3.922644576739984
2026,Bachelor's or higher,15997,3.031635896899118
